about,talk,327133
,think,175269
,how,135213
,worry,56271
,care,48643
,write,43436
,hear,43358
,question,40914
,learn,36753
,story,31931
,information,31595
,concerned,24035
,talk,18273
,forget,17830
,concern,16656
,complain,13592
,comment,11061
,serious,9259
,feeling,8909
,discussion,8855
,conversation,8400
,doubt,7819
,worried,7743
,debate,7589
,detail,7552
,excited,5480
,complaint,4485
,curious,4218
,excite,4148
,passionate,4084
,dream,4060
,joke,3961
,upset,3883
,worrying,3640
,nervous,3359
,inform,3349
,assumption,3323
,educate,3235
,worry,2994
,brag,2592
,optimistic,2296
,joke,2257
,rumor,2206
,remark,2101
,enthusiastic,2056
,documentary,2012
,clue,1886
,uncertainty,1785
,concern,1758
,inquire,1703
,skeptical,1592
,speculation,1587
,talking,1487
,whine,1460
,reservation,1446
,fantasize,1379
,knowledgeable,1379
,confusion,1362
,great,1343
,chat,1314
,shy,1310
,anxious,1260
,upcoming,1210
,speculate,1197
,cautious,1191
,openly,1180
,think,1159
,sexuality,1104
,skepticism,1063
,curiosity,1042
,disagreement,991
,misconception,923
,rave,902
,stereotype,875
,qualm,857
,reminisce,833
,rant,727
,ambivalent,695
,regret,684
,adamant,670
,uneasy,666
,blog,636
,anecdote,623
,optimism,604
,fuss,596
,bitch,566
,unsure,562
,obsess,562
,cynical,560
,pessimistic,559
,extensively,550
,halfway,539
,length,530
,misgiving,520
,homosexuality,497
,paranoid,495
,self-conscious,468
,fret,466
,ambivalence,460
,clueless,453
,insecure,449
,generalization,445
,lecture,439
,candid,439
,insightful,432
,frank,405
,passionately,399
,ado,396
,apprehensive,392
,gossip,375
,inference,374
,plight,373
,impending,364
,picky,363
,hesitant,342
,eg,328
,endlessly,327
,vigilant,320
,whereabouts,315
,rant,314
,half-hour,312
,contraception,302
,obsessive,299
,misinformation,289
,sanguine,284
,sexism,280
,secretive,271
,upbeat,260
,truthful,246
,unconcerned,244
,undecided,243
,cynicism,242
,unanswered,241
,gripe,240
,candidly,235
,wax,232
,awful,232
,up-front,227
,derogatory,226
