five,year,54655
,minute,17312
,day,11954
,ago,9377
,about,7576
,month,7050
,week,5518
,hour,5183
,past,4067
,later,3931
,least,3715
,foot,3448
,top,3057
,mile,2808
,within,2759
,dollar,2695
,second,2640
,season,2262
,hundred,2179
,nearly,1483
,per,1298
,thousand,1246
,to,1226
,yard,1157
,pound,1155
,inch,1092
,buck,993
,o'clock,949
,last,872
,run,837
,category,760
,prison,750
,innings,635
,touchdown,614
,row,583
,tall,566
,under,555
,straight,544
,score,528
,final,509
,consecutive,508
,high,507
,hit,505
,cent,490
,approximately,430
,count,412
,assist,404
,starter,400
,consist,392
,total,387
,acre,386
,rebound,375
,borough,359
,win,354
,grandchild,307
,sentence,306
,meter,301
,roughly,277
,star,276
,interception,246
,average,245
,gallon,230
,probation,225
,kilometer,215
,minimum,205
,turnover,200
,sack,200
,minute,200
,starting,199
,continent,196
,annually,169
,serving,167
,sibling,164
,fab,162
,rbi,158
,comprise,157
,wound,154
,subscale,152
,maximum,152
,finalist,134
,round,130
,pillar,123
,span,107
,par,106
,gold,106
,metro,94
,apiece,86
,digit,85
,minus,82
,earned,82
,dime,77
,ie,75
,strikeout,69
,batter,68
,postseason,59
,centimeter,59
,fumble,56
,preceding,52
,imprisonment,50
,save,49
,scoreless,49
,franc,49
,shilling,49
,taliban,48
,following,47
,out,47
,liter,46
,rushing,46
,sack,45
,punishable,43
,lineman,42
,birdie,40
,petal,39
,regular-season,37
,captivity,37
,year-old,37
,kilo,35
,excess,34
,returning,34
,grammy,33
,eg,33
,aggregate,32
,shutout,32
,triple,32
,peso,32
,at-bat,30
,first-degree,30
,furlong,29
,three-pointer,29
,rupee,28
,metre,27
,takeaway,27
,co-host,27
,accounting,27
,whopping,26
,career-high,25
,slaughterhouse,25
,grandkid,25
,blocked,24
,remission,24
,interrelated,24
,eta,23
,kilometre,23
,self-contained,23
,millimeter,22
,uninterrupted,20
,dinar,20
,unbeaten,20
,subspecies,19
,deferment,19
,hectare,18
,team-high,17
,pennant,16
,concentric,16
,crewman,16
,supervised,15
,self-destruct,15
,bogey,15
,stanza,15
,chevron,14
,season-high,14
,skein,13
,cubit,13
,baggie,13
,interlocking,13
,cellblock,12
,limerick,12
,unearned,12
,consecutively,12
,elapse,12
,allotted,12
,annum,12
,servicer,12
finally,decide,1967
,realize,1567
,reach,1505
,arrive,1477
,tonight,1292
,settle,851
,manage,722
,glad,703
,admit,663
,emerge,348
,silence,322
,succeed,269
,asleep,268
,courage,235
,collapse,140
,relent,138
,dawn,128
,succumb,120
,persuade,119
,relieve,112
,fed,80
,essayist,77
,up,74
,reunite,56
,reluctantly,49
,blurt,46
,desperation,45
,subside,43
,halt,42
,exhausted,41
,plunge,35
,fruition,31
,exhaustion,30
,corner,29
,long-awaited,29
,avail,28
,hang,24
,cave,22
,mercifully,20
,doze,20
,exasperation,16
,impatiently,14
,overjoyed,13
,grudgingly,13
,bouncing,13
,headway,11
,pinhead,11
,exasperated,11
,belatedly,10
,wise,10
,exasperate,9
,go-ahead,9
,unraveled,9
,logjam,9
,roost,9
,long-delayed,9
fight,war,7305
,back,7057
,against,6791
,fight,4169
,battle,3683
,hard,2049
,fight,1484
,fire,1281
,army,980
,soldier,956
,enemy,870
,freedom,867
,terrorism,855
,crime,835
,cancer,727
,worth,717
,troop,686
,civil,633
,willing,606
,urge,566
,tooth,531
,tear,505
,alongside,459
,rebel,406
,nail,400
,infection,384
,terror,307
,terrorist,292
,poverty,290
,evil,278
,corruption,274
,independence,258
,monster,254
,survival,250
,warrior,244
,fighter,243
,vow,229
,demon,229
,aids,222
,constantly,219
,taliban,219
,muslim,214
,successfully,203
,preserve,200
,guerrilla,198
,bravely,193
,losing,186
,injustice,173
,islamic,168
,custody,166
,sword,164
,fiercely,163
,insurgent,158
,coalition,157
,equality,156
,amongst,149
,racism,148
,dragon,144
,marine,142
,uphill,142
,brave,140
,militia,137
,discrimination,136
,desperately,132
,courage,129
,german,129
,immune,126
,bitterly,125
,fighting,123
,valiantly,122
,nazi,122
,behalf,120
,insurgency,118
,overseas,117
,slavery,115
,actively,110
,bitter,109
,bloody,107
,russian,107
,duel,107
,soviet,106
,warming,106
,vigorously,106
,communism,103
,syrian,102
,hunger,102
,ancestor,102
,faction,98
,impulse,98
,fist,97
,revolutionary,95
,communist,91
,militant,90
,attacker,87
,obesity,87
,willingness,86
,invader,86
,extradition,85
,iraqi,84
,arab,83
,battlefield,82
,heavyweight,82
,infantry,79
,oppression,79
,wildfire,78
,flu,77
,trafficking,76
,trench,73
,sunni,72
,epidemic,71
,temptation,71
,afghan,71
,aggressively,70
,jihad,68
,foe,68
,regain,66
,scrap,66
,fascism,66
,proxy,64
,alongside,63
,blaze,62
,knight,62
,confederate,58
,boxing,56
,kurd,56
,malaria,55
,confederacy,55
,turf,54
,rival,54
,radical,53
,extremist,53
,cartel,53
,behalf,50
,boxer,48
,nausea,47
,spam,47
,tyranny,46
,unsuccessfully,46
,dominance,45
,sexism,44
,regiment,43
,cock,42
,jihadist,42
,turk,42
,tirelessly,42
,vietnamese,42
,inflammation,40
,skirmish,40
,forefather,40
,brigade,40
,battalion,39
,antibody,39
,pitched,39
,boredom,38
,gladiator,37
,deportation,37
,kurdish,37
,underdog,37
,piracy,35
,mujahideen,35
,apartheid,35
,islamist,35
,overthrow,35
,furiously,34
,subpoena,34
,viciously,34
,segregation,34
,cavalry,34
,adversity,33
,afghan,32
,horde,32
,foreman,31
,guise,31
,snowball,31
,stigma,31
,bigotry,31
,germ,31
,standstill,30
,partisan,30
,extremism,30
,crusader,30
,shiite,30
,liberate,30
,mercenary,29
,rear-guard,29
,heroically,29
,mma,29
,taliban,28
,might,28
,ferociously,28
,courageous,28
,invading,28
,horseback,28
,countryman,28
,protracted,28
,combatant,28
,infidel,28
,rearguard,27
,fascist,27
,counterinsurgency,27
,courageously,27
,relentlessly,26
,unjust,26
,middleweight,26
,resolve,26
,eg,24
,supremacy,23
,anti-semitism,23
,futile,23
,self-defense,23
,two-front,22
,onslaught,22
,islamist,22
,welterweight,21
,antioxidant,21
,claw,21
,honorably,21
,frontline,21
,valiant,20
,passionately,20
,bravery,20
,opioid,20
,contra,20
,trafficker,20
,leukemia,19
,persian,19
,side-by-side,19
,oppressor,18
,entrenched,18
,homophobia,18
,tenaciously,18
