him,behind,16050
,front,6532
,stare,5799
,beside,5535
,remind,5150
,next,4553
,kiss,4484
,hand,4264
,accuse,3020
,urge,1896
,hug,1860
,greet,1298
,punch,1290
,slap,1227
,unto,1129
,stab,1095
,persuade,1091
,shove,1000
,glare,860
,tease,821
,comfort,666
,pat,666
,adore,591
,eye,534
,congratulate,526
,loose,449
,interest,397
,nudge,311
,motion,282
,taunt,262
,dearly,254
,opposite,249
,crucify,247
,beckon,207
,impeach,206
,pet,202
,coax,197
,blankly,159
,guard,133
,dissuade,126
,suspiciously,123
,playfully,117
,shove,103
,extradite,102
,faze,97
,cuff,94
,warily,89
,expectantly,89
,affectionately,86
,earnestly,85
,square,85
,sedate,84
,coldly,79
,mercilessly,77
,quizzically,72
,begrudge,70
,unseat,70
,elbow,70
,slew,67
,thumbs-up,67
,endear,67
,catapult,66
,stead,65
,shush,65
,unbeknownst,64
,sternly,63
help,can,68526
,help,15511
,student,9124
,understand,8329
,please,7556
,build,4530
,develop,4445
,prevent,2865
,reduce,2767
,improve,2723
,identify,2373
,determine,2229
,design,2038
,avoid,1898
,achieve,1885
,fund,1864
,tool,1741
,solve,1724
,maintain,1670
,organize,1515
,pay,1509
,ensure,1493
,save,1315
,shape,1158
,overcome,1117
,cope,1008
,volunteer,875
,recover,827
,rebuild,825
,guide,804
,restore,802
,succeed,786
,navigate,784
,guide,739
,ease,687
,transition,681
,clarify,652
,heal,637
,shape,608
,preserve,578
,alleviate,555
,strengthen,542
,any,533
,homework,526
,finance,520
,homeless,510
,volunteer,494
,educate,486
,facilitate,482
,boost,464
,stabilize,457
,counselor,431
,raise,413
,sustain,407
,secure,388
,relieve,380
,nonprofit,377
,regain,347
,greatly,346
,donation,339
,sort,324
,homeowner,322
,boost,312
,financially,303
,credit,291
,tremendously,288
,offset,285
,needy,285
,mentor,283
,clear,274
,foster,272
,draft,263
,coordinate,263
,ease,260
,struggling,259
,minimize,252
,low-income,249
,fulfill,243
,build,242
,stimulate,240
,heal,240
,mitigate,239
,immensely,235
,propel,228
,refine,225
,learner,225
,foster,224
,broker,217
,steer,206
,defray,203
,fortunate,200
,great,197
,revive,196
,pave,195
,spur,191
,chore,188
,hinder,187
,afloat,186
,overhear,183
,instrumental,175
,usher,174
,curb,172
,formulate,172
,maximize,169
,visualize,167
,find,165
,attain,165
,troubled,164
