long,time,71811
,term,13302
,ago,9149
,run,8947
,long,7852
,period,7497
,island,7166
,history,5653
,hair,5167
,line,5134
,list,3987
,distance,3546
,short,3440
,beach,3221
,foot,3070
,shot,2894
,road,2629
,inch,2256
,haul,2024
,leg,1963
,journey,1957
,mile,1844
,trip,1772
,while,1637
,walk,1556
,last,1426
,tradition,1331
,wide,1312
,drive,1273
,pause,1238
,stretch,1222
,silence,1160
,ride,1053
,winter,923
,shadow,850
,tail,844
,narrow,825
,thin,758
,sentence,751
,wait,686
,duration,659
,string,628
,skirt,601
,sleeve,585
,struggle,577
,stretch,546
,coat,542
,beard,541
,streak,538
,jump,523
,corridor,479
,standing,473
,delay,469
,grass,444
,hallway,439
,beat,413
,odds,372
,stride,351
,wooden,339
,strip,337
,meter,332
,pole,328
,driveway,312
,sigh,312
,hike,311
,strand,309
,lens,305
,blond,301
,span,300
,interval,284
,wavelength,281
,stay,273
,slender,260
,robe,259
,tenure,256
,braid,253
,arduous,241
,voyage,233
,underwear,231
,drought,217
,overdue,216
,winding,216
,skinny,212
,nap,209
,gown,203
,axis,199
,kilometer,198
,trek,192
,awfully,188
,climb,183
,lash,180
,fingernail,175
,eyelash,166
,distinguished,166
,drawn-out,164
,unusually,162
,arc,161
,descent,149
,sip,147
,pull,139
,extra,139
,scarf,134
,lean,131
,blonde,131
,slog,131
,expectancy,129
,waiting,125
,swallow,122
,hitter,122
,curl,122
,tedious,120
,flowing,113
,over,112
,reign,107
,rectangular,106
,vowel,105
,putt,104
,bony,102
,queue,102
,lifespan,101
,curly,100
,prosper,95
,ponytail,92
,snapper,92
,curved,91
,jumper,90
,ridiculously,90
,iced,90
,beak,90
,graceful,89
,impossibly,89
,storied,84
,half-life,83
,siege,82
,poly,81
,expressway,78
,lingering,78
,hiatus,75
,ordeal,74
,swig,73
,cylinder,72
,centimeter,72
,wavy,71
,torso,71
,putter,71
,stint,70
,monologue,69
,losing,68
,latency,67
,leash,67
,eg,66
,snout,62
,pointed,60
,uphill,59
,coastline,59
,fruitful,59
,wheelbase,58
,winded,58
,lag,56
,procession,55
,incubation,55
,workday,54
,whisker,53
,sideburn,53
,mane,53
,tunic,53
,protracted,52
,curve,50
,peacetime,49
,culmination,48
,unbroken,48
,bumpy,48
,exhausting,47
,silky,47
,snake,46
,suffering,46
,litany,46
,rectangle,46
,pedigree,45
,excessively,45
,stringy,45
,rambling,44
,tress,44
,islander,43
,soak,42
,mahogany,41
,zoom,41
,timescale,41
,tiring,41
,filament,41
,illustrious,40
,wharf,40
,to-do,39
,leisurely,39
,gulp,39
,detour,38
,millimeter,38
,telomere,38
,gestation,38
,overcoat,38
,shaggy,37
,tentacle,37
,trough,37
,dormant,37
,uninterrupted,37
,sleepless,37
,courtship,36
,lanky,36
,tendril,36
,stairway,34
,metre,34
,convolute,34
,cylindrical,33
,gash,33
,telephoto,31
,apprenticeship,31
,sojourn,31
,spindly,30
,inordinately,30
,tortuous,30
,inactivity,30
,excruciatingly,30
,streamer,29
,howl,29
,draught,29
,agonizing,29
,ovation,28
,haired,28
,laborious,27
,sinuous,27
,long-sleeved,26
,exhalation,26
,wail,26
,sloping,26
,mournful,26
,torturous,25
,lurker,25
,uncomfortably,25
,sordid,24
,bushy,24
,unduly,24
,pointy,24
,unnaturally,24
,disheartened,24
,continuance,24
,abnormally,23
,tiresome,23
,toenail,23
,hibernation,23
,woolen,23
,serrated,23
,braided,22
,downhill,22
,convalescence,22
,absurdly,22
,circuitous,21
,cardigan,21
,fermentation,21
,dreadlock,21
,supple,20
,fruitless,20
,eventful,20
,languid,20
,axon,20
,wiry,20
,agonizingly,19
,wingspan,18
,tubular,18
,unkempt,18
,interferometry,18
,ringlet,18
,shapely,18
,straightaway,18
,undulating,18
,gaunt,17
,recitation,17
,frond,17
,sleeved,17
,manicured,17
,lustrous,17
,frizzy,17
,slog,17
,interminably,17
,recuperation,17
,incus,16
,curving,16
,glide,16
,taper,16
,digression,16
,monotonous,16
,windowless,15
,trestle,15
,half-mile,15
,legging,15
,duster,15
,checkered,15
,hard-fought,15
,wispy,15
,dormancy,14
,diatribe,14
look,at,58681
,take,36610
,close,5186
,face,5067
,eye,2546
,quick,1645
,fresh,666
,inside,570
,exchange,546
,weather,533
,mirror,403
,inside,396
,in-depth,360
,dirty,344
,brief,273
,behind-the-scenes,261
,puzzled,258
,blank,255
,cast,253
,detailed,234
,headline,231
,exclusive,224
,first-hand,214
,worried,200
,classic,190
,quizzical,175
,sneak,167
,sexy,162
,fascinating,161
,casual,155
,horror,153
,comprehensive,151
,flash,149
,confused,147
,stern,141
,close-up,128
,intimate,128
,sleek,128
,questioning,121
,up-close,115
,disgust,112
,startled,109
,knowing,102
,cursory,101
,suspicious,99
,sour,98
,charm,97
,pained,97
,disapproving,94
,withering,93
,distinctive,92
,smug,90
,grim,90
,elegant,88
,boyish,88
,disbelief,86
,youthful,84
,excerpt,83
,revealing,81
,glazed,77
,sympathetic,77
,retro,76
,polished,76
,rugged,75
,shocked,73
,fierce,72
,wary,70
,thoughtful,69
,videotape,68
,skeptical,68
,haunted,67
,stunned,66
,lean,66
,deceive,66
,wide-eyed,65
,utter,65
,sly,64
,stylish,64
,finished,63
,disgusted,63
,amused,61
,dreamy,60
,penetrating,60
,determined,59
,chic,59
,thorough,56
,vacant,55
,rustic,54
,pointed,54
,sideways,54
