no,idea,40736
,reason,27145
,problem,23278
,need,15071
,evidence,15016
,doubt,12682
,choice,12206
,difference,10354
,sign,10037
,sense,9962
,absolutely,8313
,wonder,7018
,surprise,6867
,significant,6603
,answer,6289
,intention,4329
,will,4206
,harm,3858
,excuse,3851
,far,3829
,clue,3759
,guarantee,3591
,secret,3426
,exception,3174
,mention,3027
,indication,2931
,offense,2893
,virtually,2892
,proof,2670
,explanation,2604
,desire,2457
,limit,2424
,other,2063
,worry,2013
,shortage,1953
,apparent,1850
,kidding,1827
,alternative,1792
,match,1703
,stranger,1590
,trace,1588
,shame,1580
,regret,1521
,avail,1503
,obligation,1466
,electricity,1441
,coincidence,1425
,formal,1372
,immediate,1325
,cure,1263
,known,1178
,telling,1177
,apology,1150
,objection,1114
,incentive,1042
,substitute,1011
,escape,960
,restriction,936
,hurry,893
,correlation,884
,consensus,880
,distinction,878
,mercy,869
,illusion,865
,motive,863
,prior,842
,hint,827
,justification,811
,rush,806
,bearing,793
,disrespect,751
,pun,737
,qualm,730
,reply,728
,sympathy,704
,uncertain,676
,regard,672
,turning,651
,compromise,635
,talking,635
,feat,619
,recourse,601
,collusion,579
,remorse,579
,hesitation,544
,ie,543
,discernible,543
,statistically,517
,precedent,513
,reproduce,500
,credible,492
,competing,490
,accountability,487
,assurance,482
,recollection,469
,foul,413
,definitive,409
,fingerprint,407
,forced,406
,offence,403
,resemblance,401
,fuss,398
,adverse,369
,biggie,363
,wrongdoing,363
,contradiction,360
,bound,355
,relevance,346
,profanity,294
,milligram,292
,exaggeration,290
,earthly,266
,quarrel,266
,touching,264
,sane,261
,slouch,260
,unturned,259
,conclusive,257
,timetable,250
,foul,248
,obstruction,236
,vulgarity,234
,inclination,233
,moral,228
,compunction,227
,shortcut,226
,laughing,219
,pretense,219
,taker,217
,heed,215
,inkling,213
,interruption,208
,respecting,206
,eyewitness,206
,downside,203
,refund,196
,present,193
,muss,187
,problemo,187
,warranty,186
,eg,185
,plumbing,185
,bitterness,183
,rhyme,179
,malice,174
,repercussion,173
,overt,171
,detectable,164
,animosity,163
,escaping,163
,outward,151
,hassle,151
,fatality,150
,kissing,145
,prob,144
,measurable,143
,appreciable,143
,fluke,142
,quid,139
,self-respecting,138
,frill,138
,identifiable,137
,grudge,136
,conceivable,131
,brook,128
,panacea,125
,cheating,122
,recurrence,118
,clear-cut,117
,discernable,115
,unpunished,103
,compulsion,101
,outcry,100
,bother,100
,abate,99
,and,98
,vested,97
,nudity,95
,fanfare,94
,ulterior,93
,air-conditioning,90
,yelling,89
,scruple,89
,repentance,88
,screaming,85
,documented,84
,swearing,82
,confirmed,81
,preservative,80
,biting,79
,additive,75
,respite,74
,namespace,74
,funder,71
,forwarding,70
,absolute,70
,pretension,69
,precondition,67
,wiggle,67
,justifiable,67
,redeeming,66
,texting,65
,denying,64
,deductible,64
,brainer,63
,pushing,61
,whining,60
,preconceived,60
,stinking,60
,respecter,58
,pushover,57
,bruising,56
,identifying,56
,perceptible,54
,let-up,54
,favoritism,53
,refrigeration,53
,dishonor,52
,shouting,51
,abrasion,49
,corroboration,49
,self-pity,49
,demonstrable,46
,out-of-pocket,46
news,good,24814
,bad,12983
,conference,7581
,story,7163
,news,6932
,report,5493
,media,5486
,break,5401
,report,5382
,morning,4240
,local,4097
,tonight,3152
,evening,2911
,organization,2848
,channel,2740
,television,2734
,network,2725
,agency,2503
,source,2438
,summary,2375
,correspondent,2370
,coverage,2320
,reporter,2240
,tv,2228
,daily,2121
,release,2091
,editor,1895
,anchor,1890
,cable,1801
,outlet,1685
,edition,1654
,fake,1563
,breaking,1520
,radio,1353
,weekend,1319
,poll,1311
,headline,1179
,analyst,1138
,magazine,1076
,contributor,1059
,deliver,1027
,nightly,990
,yesterday,977
,weather,969
,entertainment,957
,independent,916
,feed,829
,broadcast,807
,cycle,790
,newspaper,755
,host,672
,update,583
,flash,577
,official,548
,trusted,517
,reporting,511
,alert,485
,sporting,460
,van,458
,watch,451
,journalist,440
,announcer,434
,weekly,431
,exciting,403
,dominate,386
,tune,369
,showbiz,368
,mercury,368
,o'clock,358
,consultant,345
,celebrity,344
,mainstream,341
,broadcast,339
,tribune,335
,observer,330
,bulletin,327
,front-page,325
,bureau,320
,columnist,314
,copyright,301
,commentary,297
,footage,290
,brit,263
,headquarters,257
,shocking,255
,yahoo,233
,associated,229
,substitute,219
,disturbing,200
,devastating,195
,ticker,193
,encouraging,187
,best-seller,182
,commentator,181
,journalism,180
,prime-time,177
,bearer,171
,newsletter,171
,ranking,162
,worldwide,161
,investigative,159
,editorial,158
,anchor,156
,state-run,147
,managing,147
,eyewitness,146
,kaiser,145
,buffalo,139
,newsroom,138
,grim,138
,metro,136
,clipping,126
,briefing,119
,gossip,116
,herald,109
,affiliate,109
,provocative,105
,headline,99
,rove,93
,junkie,89
,disappointing,88
,co-anchor,84
,aggregator,81
,anchorage,76
,weekday,75
,pundit,74
,up-to-the-minute,74
,startling,74
,broadcasting,74
,automotive,72
,relay,71
,blackout,71
,sentinel,71
,troubling,70
,award-winning,67
,depressing,66
,televised,65
,sadden,63
,quiz,63
,foreman,62
,tabloid,60
,biased,60
,in-depth,59
,late-breaking,58
,digest,56
,introductory,56
,alarming,56
,broadcaster,55
,tabloid,55
,real-time,54
,arabic,51
,sensational,51
,honored,51
,unwelcome,50
,roundup,49
,reputable,48
,english-language,48
,up-to-date,48
,cooperative,45
,distressing,44
,anchorman,44
,late-night,43
,crier,42
,cable,42
,unbiased,41
,hastily,41
,eg,40
,cameraman,38
,smiley,37
,discouraging,37
,semi-official,37
,editorially,36
,journalistic,36
,satirical,36
,syndicated,35
,dissemination,34
,presenter,34
,tracker,34
,sobering,33
,aggregation,31
,weekly,31
,illustrated,29
,shipbuilding,29
,newscast,29
,sign-up,28
,not-so-good,27
,momentous,27
,impromptu,26
,spate,26
,blare,26
,meteorologist,25
,bombshell,24
,earth-shattering,23
,customized,23
,inquirer,23
,heartening,23
,spanish-language,22
,drumbeat,22
,whit,21
,co-anchor,21
,editor-in-chief,21
,firm-specific,20
,dozy,20
,shattering,20
,abreast,20
,trend,20
,amo,19
,wired,18
,viewership,18
,twenty-four-hour,17
,bream,17
,hyperlocal,17
,top-rated,16
,hour-long,16
,commercial-free,16
,now-defunct,16
,must-read,15
,post-election,15
,on-air,15
,arab-american,14
,newscaster,14
,tush,14
,newsmaker,14
,wrap-up,13
,anchorwoman,13
,overjoyed,13
,unfiltered,13
,weatherman,12
,tiding,12
,fryer,12
,sensationalism,12
,syndicate,12
,gatherer,12
,multi-platform,11
,weeknight,11
,salacious,11
,hard-hitting,11
,uncensored,11
,anatolian,11
,left-leaning,11
,drudge,11
,breathlessly,11
,op-ed,10
nobody,ever,5309
,else,4679
,care,2372
,notice,879
,hurt,654
,anymore,602
,perfect,551
,hurt,505
,bother,490
,touch,447
,except,395
,blame,336
,deny,302
,fault,258
,question,219
,complain,213
,mess,176
,damn,171
,dare,166
,fool,158
,any,88
,panic,72
,object,57
,accountable,55
,dispute,45
,foresee,43
,bat,35
,someplace,34
,listening,31
,geek,31
,certain,30
,jolly,17
,out,17
,answering,17
,fault,14
,inquisition,13
,hoot,13
,walk-in,11
,peep,9
,outside,8
,scrappy,8
,snitch,8
,strawman,7
,wiz,6
,crybaby,6
,unscathed,6
,smartass,6
,irreplaceable,6
,anorexic,5
,chump,5
,tattletale,5
,whiner,5
,smart-ass,5
,mope,5
,crummy,5
,squealer,4
,show-off,4
,gumption,4
,quitter,4
,flack,4
,answerable,4
,cowgirl,4
,tie-in,4
,snitch,4
,illusionist,4
,braggadocio,4
,nobody,4
navy,seal,1424
,army,1084
,force,909
,ship,839
,air,818
,royal,673
,blue,621
,officer,596
,secretary,548
,serve,492
,join,481
,pilot,424
,navy,356
,yard,325
,veteran,320
,captain,315
,marine,310
,commander,294
,blue,282
,retired,274
,pier,259
,british,252
,suit,248
,admiral,246
,seal,245
,corps,239
,base,238
,lieutenant,228
,marine,224
,fleet,182
,submarine,162
,enlist,157
,coast,153
,plane,150
,vessel,148
,guard,144
,sailor,139
,japanese,138
,aircraft,138
,personnel,135
,bean,132
,shirt,131
,blazer,130
,imperial,125
,carrier,125
,uniform,124
,fighter,122
,diver,122
,destroyer,119
,cross,116
,dress,112
,retire,112
,chief,102
,reserve,99
,russian,94
,german,88
,jacket,86
,warship,84
,petty,84
,missile,81
,helicopter,79
,medal,78
,jet,78
,pant,72
,naval,72
,corpsman,71
,skirt,69
,command,69
,gray,66
,chaplain,63
,assistant,62
,aboard,62
,gulf,58
,israeli,57
,combat,57
,award,55
,engineer,52
,australian,50
,sail,50
,sweater,49
,civilian,49
,korean,47
,cap,46
,squadron,45
,stint,45
,station,45
,sink,44
,t-shirt,44
,battleship,44
,deploy,44
,vet,43
,port,43
,discharge,42
,slack,41
,finnish,40
,jeans,39
,reservist,39
,harbor,39
,brass,38
,wool,38
,iranian,37
,aviator,37
,rescue,36
,italian,35
,midshipman,35
,commendation,34
,spokesman,34
,blue-water,34
,aviation,33
,patrol,33
,persian,32
,advocate,32
,cruiser,32
,raid,32
,shorts,31
,bomber,31
,seaman,31
,rear,31
,surgeon,30
,decorated,30
,warfare,29
,ship,29
,recruiter,29
,pearl,28
,command,27
,sub,27
,colt,27
,khaki,26
,medic,26
,shipyard,26
,brig,26
,majesty,26
,discharge,25
,torpedo,25
,merchant,25
,technician,24
,confederate,24
,silk,24
,installation,23
,sniper,23
,continental,22
,maritime,22
,intercept,22
,turkish,22
,amphibious,21
,pea,21
,patrol,21
,radar,21
,blouse,21
,sonar,20
,blockade,20
,distinguished,20
,cajun,19
,flier,19
,commando,19
,aegis,19
,delta,19
,cadet,19
,frigate,19
,beret,18
,undersecretary,18
,hymn,18
,air-force,18
,drone,18
,flotilla,17
,danish,17
,recruiting,16
,thai,16
,trousers,16
,dispatch,16
,ensign,16
,crisp,16
,polo,15
,bronze,15
,recruit,15
,commission,15
,flagship,15
,deployment,15
,hellcat,15
,pinstripe,15
,allied,15
,shutter,14
,hitch,14
,offshore,14
,salvage,14
,frogman,14
,matching,14
,mediterranean,14
,liaison,14
,guided,14
,gunner,14
,dried,14
,tomcat,14
,brazilian,13
,blockade,13
,commanding,13
,hornet,13
,philippine,13
,flyer,13
,investigative,13
,charcoal,13
,pinto,13
,escort,13
,revolver,12
,ukrainian,12
,pantsuit,12
,plaid,12
,brat,12
,dive,12
,long-range,12
,double-breasted,12
,airman,12
,submariner,12
,infantry,12
,tactical,12
,arsenal,12
,trainee,11
,ashore,11
,reconnaissance,11
,stealth,11
,stripe,11
,flying,11
,knit,10
,peacetime,10
,ordnance,10
,skyline,10
,cashmere,10
,napoleonic,10
,surplus,10
,raid,10
,trim,10
,cardigan,10
,diving,10
,argentine,9
,active-duty,9
,tanker,9
,beige,9
,apprentice,9
,fallen,9
,gunboat,9
,sweatshirt,9
,shipboard,9
,corduroy,9
,fireman,9
,ottoman,8
,unmanned,8
,ballistic,8
,yeoman,8
,aeronautics,8
,intruder,8
,armada,8
