percent,percent,25977
,about,21195
,only,16082
,rate,9881
,population,5862
,nearly,5475
,increase,5049
,compare,4841
,vote,4586
,american,4438
,rise,4421
,increase,4309
,tax,3680
,account,3663
,to,3536
,total,3489
,fall,3423
,income,2981
,report,2805
,respondent,2782
,voter,2764
,drop,2650
,average,2483
,sales,2361
,growth,2259
,approximately,2216
,poll,2169
,revenue,2055
,represent,1976
,roughly,1953
,top,1884
,unemployment,1868
,calorie,1825
,gdp,1777
,share,1672
,since,1661
,fat,1485
,annual,1471
,reduction,1395
,above,1391
,adult,1338
,quarter,1322
,household,1314
,budget,1295
,decline,1250
,survey,1240
,own,1230
,hundred,1184
,profit,1175
,estimate,1153
,below,1131
,jump,1118
,rating,1024
,total,976
,earn,961
,gross,958
,average,947
,drop,923
,under,919
,respectively,860
,hispanic,854
,estimated,846
,decline,830
,survey,798
,approval,795
,below,793
,versus,785
,remaining,767
,domestic,720
,annually,712
,average,707
,spending,697
,inflation,694
,margin,693
,earnings,690
,poverty,688
,percentage,676
,pay,658
,approve,657
,decrease,647
,stake,644
,exceed,643
,gain,633
,comprise,631
,black,631
,emission,614
,discount,593
,graduate,589
,capacity,578
,oppose,571
,latino,571
,favor,551
,constitute,533
,poll,523
,electricity,521
,decrease,506
,wage,504
,salary,490
,electorate,484
,shooting,469
,consume,466
,hispanic,454
,export,443
,premium,433
,range,430
,asian,429
,workforce,425
,rate,422
,whopping,404
,index,401
,net,397
,mortgage,384
,african-american,383
,registered,377
,import,357
,efficiency,355
,consumption,354
,eligible,353
,accuracy,350
,jump,350
,yield,342
,mere,336
,output,330
,nationwide,327
,turnout,326
,soar,323
,ratio,317
,shrink,304
,enrollment,299
,overall,299
,catholic,299
,nationally,298
,hover,294
,gram,293
,variance,291
,disapprove,281
,overall,281
,equity,280
,earner,278
,african-american,273
,amount,273
,retail,272
,half,270
,independent,269
,tariff,263
,expenditure,261
,payroll,257
,plummet,256
,median,253
,plunge,247
,favorable,246
,precinct,225
,threshold,222
,bracket,220
,senior,207
,maximum,206
,undecided,206
,tax,204
,mortality,202
,surge,189
,faster,184
,fraction,184
,unfavorable,177
,census,175
,graduation,174
,staggering,171
,humidity,170
,gasoline,170
,dip,167
,dividend,163
,delegate,162
,undergraduate,162
,attendance,159
,tuition,152
,applicant,151
,minus,151
,hike,150
,unemployed,150
,nitrogen,150
,reported,149
,uranium,148
,asian,147
,intermediate,145
,low,145
,ethanol,142
,overweight,140
,raise,139
,dioxide,138
,proceeds,137
,obese,134
,turnover,128
,certainty,125
,total,123
,recycled,122
,protestant,121
,per,121
,peak,120
,three-point,117
,recycle,114
,grader,113
,occupancy,111
,solid,111
,statewide,111
,projected,107
,subsidized,106
,royalty,103
,equal,102
,jobless,101
,moisture,101
,pew,100
,metro,100
,astonishing,98
,dropout,98
,uninsured,98
,tumble,97
,surcharge,97
,garner,97
,recycling,96
,discretionary,96
,low-income,95
,fatality,94
,second-quarter,88
,vacancy,87
,excess,87
,upwards,84
,borrower,84
,disapproval,84
,four-year,83
,all-time,80
,non-hispanic,80
,smoker,80
,ie,79
,yearly,78
,proficient,78
,five-year,75
,statistic,72
,annum,72
,evangelical,72
,unchanged,71
,beginner,71
,across-the-board,69
,surveyed,68
,markup,66
,californian,66
,taxable,66
,high,66
,adjusted,65
,third-quarter,65
,fourth-quarter,64
,malware,62
,recommended,62
,median,62
,boomer,61
,cumulative,60
,acreage,59
,six-month,58
,excise,57
,first-time,56
,favorably,55
,plurality,55
,enrichment,55
,oxide,55
,annualized,55
,paltry,54
,first-quarter,54
,meager,52
,rebate,52
,capita,52
,placebo,51
,year-over-year,51
,private-sector,51
,unmarried,50
,sulfur,50
,recidivism,49
,skyrocket,49
,snap,49
,disapproving,49
,employed,48
,renter,48
,statewide,48
,after-tax,48
,cutback,47
,anglo,47
,penetration,45
,scant,45
,caucasian,45
,drinker,45
,precipitation,45
,islander,44
,doctorate,43
,school-age,43
,freshwater,43
,three-month,43
,farmland,42
,nominal,42
,caucasian,42
,dissatisfied,41
,outlay,41
,free-throw,41
,non-white,41
process,through,8840
,part,4698
,due,4234
,during,4021
,political,3884
,begin,3868
,peace,3830
,whole,2659
,learning,2297
,step,1913
,development,1862
,involve,1818
,thought,1793
,democratic,1761
,decision-making,1694
,involved,1686
,selection,1682
,describe,1511
,entire,1507
,creative,1505
,review,1500
,natural,1398
,design,1315
,throughout,1269
,planning,1204
,slow,1149
,application,1126
,complex,1121
,repeat,1090
,production,1077
,healing,1028
,ongoing,987
,manufacturing,966
,legal,948
,cognitive,946
,writing,940
,occur,938
,stage,889
,legislative,851
,speed,847
,participate,845
,complete,819
,assessment,793
,engage,759
,electoral,753
,evaluation,744
,understanding,703
,aging,665
,educational,663
,biological,656
,approval,641
,judicial,611
,evolutionary,609
,outcome,577
,facilitate,575
,slow,538
,recovery,533
,influence,521
,mental,521
,aspect,518
,scientific,516
,complicated,514
,initiate,509
,accelerate,508
,negotiation,495
,ensure,495
,confirmation,491
,screening,472
,clause,469
,internal,467
,improvement,449
,transition,444
,lengthy,437
,discovery,429
,regulatory,428
,painful,418
,dynamic,416
,reconciliation,412
,formation,401
,teaching,398
,creation,398
,chemical,398
,participation,391
,gradual,387
,implement,387
,evolution,383
,hiring,382
,streamline,382
,integration,380
,whereby,377
,formal,372
,implementation,372
,undergo,368
,voting,364
,industrial,362
,constitutional,359
,developmental,356
,reverse,352
,transformation,349
,continuous,341
,collaborative,328
